driverId,truckId,eventDate,eventType,longitude,latitude
30,58,2016-05-27-22,Normal,-89.03,41.92
11,74,2016-05-27-22,Normal,-88.77,40.76
23,68,2016-05-27-22,Normal,-91.63,41.72
15,51,2016-05-27-22,Normal,-91.93,34.81
16,12,2016-05-27-22,Normal,-91.47,41.74
17,15,2016-05-27-22,Normal,-94.16,39.04
10,85,2016-05-27-22,Normal,-95.35,36.47
23,68,2016-05-27-22,Normal,-91.78,42.23
13,89,2016-05-27-22,Normal,-89.6,41.76
12,104,2016-05-27-22,Normal,-89.56,37.2
19,26,2016-05-27-22,Normal,-92.25,34.75
10,85,2016-05-27-22,Overspeed,-95.5,36.37
11,74,2016-05-27-22,Unsafe tail distance,-89.63,39.84
23,68,2016-05-27-22,Normal,-91.78,42.23
21,109,2016-05-27-22,Normal,-94.35,38.33
26,57,2016-05-27-22,Normal,-95.5,36.37
17,15,2016-05-27-22,Normal,-93.85,39.01
25,96,2016-05-27-22,Normal,-89.54,36.84
16,12,2016-05-27-22,Normal,-91.78,42.23
11,74,2016-05-27-22,Normal,-89.74,39.1
22,87,2016-05-27-22,Normal,-92.09,34.8
10,85,2016-05-27-22,Normal,-95.76,36.18
17,15,2016-05-27-22,Normal,-93.65,39.0
18,16,2016-05-27-22,Normal,-94.57,39.15
32,42,2016-05-27-22,Normal,-92.09,34.8
31,18,2016-05-27-22,Normal,-94.3,37.66
21,109,2016-05-27-22,Normal,-94.3,37.66
26,57,2016-05-27-22,Normal,-95.76,36.18
18,16,2016-05-27-22,Normal,-94.57,39.15
24,97,2016-05-27-22,Normal,-90.2,38.65
25,96,2016-05-27-22,Normal,-89.8,35.94
15,51,2016-05-27-22,Normal,-91.93,34.81
10,85,2016-05-27-22,Normal,-95.99,36.17
26,57,2016-05-27-22,Normal,-95.99,36.17
25,96,2016-05-27-22,Normal,-90.07,35.68
24,97,2016-05-27-22,Normal,-89.74,39.1
21,109,2016-05-27-22,Normal,-94.46,37.16
27,105,2016-05-27-22,Normal,-93.2,38.98
26,57,2016-05-27-22,Normal,-95.99,36.17
32,42,2016-05-27-22,Normal,-91.38,34.83
24,97,2016-05-27-22,Normal,-89.63,39.84
12,104,2016-05-27-22,Normal,-90.07,35.1
28,39,2016-05-27-22,Normal,-94.36,39.37
27,105,2016-05-27-22,Normal,-93.01,38.97
31,18,2016-05-27-22,Normal,-94.58,37.03
19,26,2016-05-27-22,Normal,-93.36,35.4
30,58,2016-05-27-22,Normal,-91.59,41.7
21,109,2016-05-27-22,Normal,-94.58,37.03
26,57,2016-05-27-22,Normal,-95.69,36.25
29,66,2016-05-27-22,Normal,-93.61,35.51
17,15,2016-05-27-22,Normal,-92.63,38.95
24,97,2016-05-27-22,Normal,-88.77,40.76
14,25,2016-05-27-22,Normal,-94.58,37.03
12,104,2016-05-27-22,Normal,-90.24,35.35
27,105,2016-05-27-22,Normal,-92.63,38.95
17,15,2016-05-27-22,Normal,-92.53,38.98
31,18,2016-05-27-22,Normal,-94.46,37.16
14,25,2016-05-27-22,Normal,-94.46,37.16
25,96,2016-05-27-22,Normal,-90.24,35.35
13,89,2016-05-27-22,Normal,-92.4,41.78
26,57,2016-05-27-22,Normal,-95.35,36.47
27,105,2016-05-27-22,Normal,-92.53,38.98
22,87,2016-05-27-22,Normal,-90.37,35.21
30,58,2016-05-27-22,Normal,-92.4,41.78
23,68,2016-05-27-22,Normal,-89.52,40.7
26,57,2016-05-27-22,Normal,-95.14,36.66
10,85,2016-05-27-22,Normal,-95.01,36.73
24,97,2016-05-27-22,Normal,-87.67,41.87
28,39,2016-05-27-22,Normal,-93.93,39.76
32,42,2016-05-27-22,Normal,-90.04,35.19
18,16,2016-05-27-22,Normal,-93.93,39.76
26,57,2016-05-27-22,Normal,-95.01,36.73
10,85,2016-05-27-22,Normal,-94.83,36.84
22,87,2016-05-27-22,Normal,-90.04,35.19
32,42,2016-05-27-22,Normal,-90.04,35.19
19,26,2016-05-27-22,Normal,-94.88,35.47
21,109,2016-05-27-22,Normal,-94.35,38.33
10,85,2016-05-27-22,Normal,-94.54,37.02
11,74,2016-05-27-22,Normal,-87.67,41.87
20,41,2016-05-27-22,Normal,-93.58,41.62
14,25,2016-05-27-22,Normal,-94.35,38.33
26,57,2016-05-27-22,Normal,-94.54,37.02
21,109,2016-05-27-22,Normal,-94.38,38.67
16,12,2016-05-27-22,Normal,-89.91,40.86
20,41,2016-05-27-22,Normal,-93.36,41.69
17,15,2016-05-27-22,Normal,-91.56,38.93
28,39,2016-05-27-22,Normal,-93.13,39.78
27,105,2016-05-27-22,Normal,-91.74,38.94
21,109,2016-05-27-22,Normal,-94.38,38.99
15,51,2016-05-27-22,Normal,-90.68,35.12
14,25,2016-05-27-22,Normal,-94.38,38.99
22,87,2016-05-27-22,Normal,-90.94,35.03
26,57,2016-05-27-22,Normal,-93.96,37.08
30,58,2016-05-27-22,Normal,-93.58,41.62
21,109,2016-05-27-22,Normal,-94.59,39.1
16,12,2016-05-27-22,Normal,-90.44,41.54
15,51,2016-05-27-22,Normal,-90.94,35.03
28,39,2016-05-27-22,Normal,-92.74,39.76
30,58,2016-05-27-22,Normal,-93.36,41.69
19,26,2016-05-27-22,Normal,-95.56,35.97
25,96,2016-05-27-22,Normal,-90.0,37.72
29,66,2016-05-27-22,Normal,-95.76,36.08
11,74,2016-05-27-22,Normal,-89.17,40.38
32,42,2016-05-27-22,Normal,-91.38,34.83
20,41,2016-05-27-22,Normal,-92.4,41.78
23,68,2016-05-27-22,Normal,-91.32,41.71
19,26,2016-05-27-22,Normal,-95.76,36.08
10,85,2016-05-27-22,Normal,-93.14,37.26
11,74,2016-05-27-22,Normal,-89.63,39.84
23,68,2016-05-27-22,Normal,-91.47,41.74
21,109,2016-05-27-22,Normal,-94.38,38.67
19,26,2016-05-27-22,Normal,-95.99,36.17
25,96,2016-05-27-22,Normal,-90.35,38.43
17,15,2016-05-27-22,Normal,-90.79,38.83
31,18,2016-05-27-22,Normal,-94.38,38.67
23,68,2016-05-27-22,Normal,-91.63,41.72
18,16,2016-05-27-22,Normal,-92.27,39.76
19,26,2016-05-27-22,Normal,-96.21,36.19
25,96,2016-05-27-22,Normal,-90.15,38.62
17,15,2016-05-27-22,Normal,-90.67,38.82
31,18,2016-05-27-22,Normal,-94.35,38.33
30,58,2016-05-27-22,Normal,-92.19,41.74
21,109,2016-05-27-22,Normal,-94.37,38.0
26,57,2016-05-27-22,Normal,-92.89,37.51
29,66,2016-05-27-22,Normal,-96.68,36.2
28,39,2016-05-27-22,Normal,-91.8,39.67
14,25,2016-05-27-22,Normal,-94.37,38.0
11,74,2016-05-27-22,Normal,-90.2,38.65
21,109,2016-05-27-22,Normal,-94.3,37.66
26,57,2016-05-27-22,Normal,-92.74,37.6
29,66,2016-05-27-22,Normal,-96.97,36.24
31,18,2016-05-27-22,Normal,-94.3,37.66
11,74,2016-05-27-22,Unsafe following distance,-89.74,39.1
23,68,2016-05-27-22,Normal,-91.63,41.72
12,104,2016-05-27-22,Normal,-90.0,37.72
28,39,2016-05-27-22,Normal,-91.36,39.76
29,66,2016-05-27-22,Normal,-97.14,36.41
15,51,2016-05-27-22,Normal,-92.31,34.78
22,87,2016-05-27-22,Normal,-91.93,34.81
23,68,2016-05-27-22,Normal,-91.47,41.74
16,12,2016-05-27-22,Normal,-91.63,41.72
32,42,2016-05-27-22,Normal,-91.93,34.81
31,18,2016-05-27-22,Normal,-94.46,37.16
14,25,2016-05-27-22,Normal,-94.46,37.16
22,87,2016-05-27-22,Normal,-91.74,34.89
27,105,2016-05-27-22,Normal,-90.21,38.65
28,39,2016-05-27-22,Normal,-90.97,39.72
29,66,2016-05-27-22,Normal,-97.34,36.63
32,42,2016-05-27-22,Normal,-91.74,34.89
22,87,2016-05-27-22,Normal,-91.38,34.83
11,74,2016-05-27-22,Normal,-88.77,40.76
16,12,2016-05-27-22,Normal,-91.32,41.71
24,97,2016-05-27-22,Normal,-88.07,41.48
32,42,2016-05-27-22,Normal,-91.38,34.83
20,41,2016-05-27-22,Normal,-89.6,41.76
25,96,2016-05-27-22,Normal,-89.56,37.2
11,74,2016-05-27-22,Normal,-88.42,41.11
27,105,2016-05-27-22,Normal,-90.41,38.75
10,85,2016-05-27-22,Normal,-91.69,37.99
22,87,2016-05-27-22,Normal,-90.94,35.03
15,51,2016-05-27-22,Normal,-91.38,34.83
25,96,2016-05-27-22,Normal,-89.54,36.84
30,58,2016-05-27-22,Normal,-89.88,41.77
17,15,2016-05-27-22,Normal,-90.67,38.82
10,85,2016-05-27-22,Normal,-91.55,38.04
31,18,2016-05-27-22,Normal,-94.31,37.31
27,105,2016-05-27-22,Normal,-90.67,38.82
15,51,2016-05-27-22,Normal,-91.14,34.96
26,57,2016-05-27-22,Normal,-91.55,38.04
23,68,2016-05-27-22,Normal,-90.29,40.96
24,97,2016-05-27-22,Normal,-88.07,41.48
32,42,2016-05-27-22,Normal,-90.68,35.12
30,58,2016-05-27-22,Normal,-89.29,41.85
11,74,2016-05-27-22,Normal,-87.67,41.87
12,104,2016-05-27-22,Normal,-90.24,35.35
28,39,2016-05-27-22,Normal,-90.24,39.72
10,85,2016-05-27-22,Normal,-91.3,38.14
31,18,2016-05-27-22,Normal,-94.37,38.0
27,105,2016-05-27-22,Normal,-90.93,38.82
26,57,2016-05-27-22,Normal,-91.3,38.14
14,25,2016-05-27-22,Normal,-94.37,38.0
24,97,2016-05-27-22,Normal,-88.77,40.76
32,42,2016-05-27-22,Normal,-90.04,35.19
31,18,2016-05-27-22,Normal,-94.35,38.33
18,16,2016-05-27-22,Normal,-90.24,39.72
16,12,2016-05-27-22,Normal,-89.52,40.7
19,26,2016-05-27-22,Normal,-97.36,37.69
22,87,2016-05-27-22,Normal,-90.37,35.21
10,85,2016-05-27-22,Normal,-91.07,38.31
11,74,2016-05-27-22,Lane Departure,-88.77,40.76
25,96,2016-05-27-22,Normal,-90.07,35.1
14,25,2016-05-27-22,Normal,-94.38,38.67
28,39,2016-05-27-22,Normal,-89.96,39.74
22,87,2016-05-27-22,Normal,-90.68,35.12
10,85,2016-05-27-22,Normal,-90.86,38.46
20,41,2016-05-27-22,Normal,-87.66,41.89
27,105,2016-05-27-22,Normal,-91.33,38.87
21,109,2016-05-27-22,Normal,-94.59,39.1
24,97,2016-05-27-22,Normal,-89.74,39.1
27,105,2016-05-27-22,Normal,-91.56,38.93
15,51,2016-05-27-22,Normal,-90.37,35.21
18,16,2016-05-27-22,Normal,-89.78,39.77
11,74,2016-05-27-22,Normal,-89.63,39.84
21,109,2016-05-27-22,Normal,-94.59,39.1
24,97,2016-05-27-22,Normal,-90.2,38.65
31,18,2016-05-27-22,Normal,-94.59,39.1
27,105,2016-05-27-22,Normal,-91.74,38.94
18,16,2016-05-27-22,Normal,-89.66,39.78
12,104,2016-05-27-22,Normal,-89.65,36.37
13,89,2016-05-27-22,Normal,-87.66,41.89
19,26,2016-05-27-22,Normal,-97.32,37.15
32,42,2016-05-27-22,Normal,-91.14,34.96
25,96,2016-05-27-22,Normal,-89.8,35.94
15,51,2016-05-27-22,Normal,-90.94,35.03
30,58,2016-05-27-22,Normal,-87.66,41.89
13,89,2016-05-27-22,Normal,-88.02,42.04
25,96,2016-05-27-22,Normal,-89.65,36.37
20,41,2016-05-27-22,Normal,-88.64,42.21
23,68,2016-05-27-22,Normal,-91.32,41.71
21,109,2016-05-27-22,Normal,-94.35,38.33
13,89,2016-05-27-22,Normal,-88.41,42.11
22,87,2016-05-27-22,Normal,-91.93,34.81
10,85,2016-05-27-22,Normal,-90.18,38.64
31,18,2016-05-27-22,Normal,-94.35,38.33
30,58,2016-05-27-22,Normal,-88.41,42.11
12,104,2016-05-27-22,Normal,-89.71,37.47
17,15,2016-05-27-22,Normal,-92.53,38.98
28,39,2016-05-27-22,Normal,-90.14,39.76
10,85,2016-05-27-22,Normal,-90.34,38.58
20,41,2016-05-27-22,Normal,-89.03,41.92
30,58,2016-05-27-22,Normal,-88.64,42.21
16,12,2016-05-27-22,Normal,-91.47,41.74
26,57,2016-05-27-22,Normal,-90.34,38.58
19,26,2016-05-27-22,Normal,-97.35,36.4
32,42,2016-05-27-22,Normal,-92.09,34.8
10,85,2016-05-27-22,Normal,-90.53,38.51
13,89,2016-05-27-22,Normal,-89.03,41.92
26,57,2016-05-27-22,Normal,-90.53,38.51
12,104,2016-05-27-22,Normal,-90.24,38.0
25,96,2016-05-27-22,Normal,-90.0,37.72
15,51,2016-05-27-22,Normal,-92.09,34.8
23,68,2016-05-27-22,Normal,-91.78,42.23
20,41,2016-05-27-22,Normal,-89.6,41.76
26,57,2016-05-27-22,Normal,-90.69,38.5
12,104,2016-05-27-22,Normal,-90.35,38.43
15,51,2016-05-27-22,Normal,-92.31,34.78
29,66,2016-05-27-22,Normal,-96.68,36.2
27,105,2016-05-27-22,Normal,-93.01,38.97
11,74,2016-05-27-22,Unsafe tail distance,-88.42,41.11
12,104,2016-05-27-22,Normal,-90.15,38.62
17,15,2016-05-27-22,Normal,-93.2,38.98
27,105,2016-05-27-22,Normal,-93.2,38.98
32,42,2016-05-27-22,Normal,-92.09,34.8
31,18,2016-05-27-22,Normal,-94.58,37.03
11,74,2016-05-27-22,Normal,-88.07,41.48
16,12,2016-05-27-22,Normal,-91.63,41.72
23,68,2016-05-27-22,Normal,-91.32,41.71
31,18,2016-05-27-22,Normal,-94.58,37.03
32,42,2016-05-27-22,Normal,-91.93,34.81
30,58,2016-05-27-22,Normal,-89.88,41.77
11,74,2016-05-27-22,Normal,-87.67,41.87
19,26,2016-05-27-22,Normal,-96.21,36.19
23,68,2016-05-27-22,Normal,-91.05,41.72
13,89,2016-05-27-22,Normal,-90.64,41.56
25,96,2016-05-27-22,Normal,-90.15,38.62
24,97,2016-05-27-22,Normal,-88.07,41.48
16,12,2016-05-27-22,Normal,-91.32,41.71
26,57,2016-05-27-22,Normal,-91.3,38.14
22,87,2016-05-27-22,Normal,-91.14,34.96
27,105,2016-05-27-22,Normal,-93.85,39.01
25,96,2016-05-27-22,Normal,-90.35,38.43
30,58,2016-05-27-22,Normal,-90.64,41.56
17,15,2016-05-27-22,Normal,-94.0,39.03
26,57,2016-05-27-22,Normal,-91.44,38.09
31,18,2016-05-27-22,Normal,-94.3,37.66
18,16,2016-05-27-22,Normal,-91.2,39.75
14,25,2016-05-27-22,Normal,-94.3,37.66
17,15,2016-05-27-22,Normal,-94.16,39.04
16,12,2016-05-27-22,Normal,-90.7,41.62
26,57,2016-05-27-22,Normal,-91.55,38.04
27,105,2016-05-27-22,Normal,-94.16,39.04
23,68,2016-05-27-22,Normal,-90.29,40.96
28,39,2016-05-27-22,Normal,-91.59,39.68
30,58,2016-05-27-22,Normal,-91.24,41.67
11,74,2016-05-27-22,Normal,-88.77,40.76
29,66,2016-05-27-22,Normal,-95.3,35.64
31,18,2016-05-27-22,Normal,-94.35,38.33
23,68,2016-05-27-22,Normal,-89.91,40.86
17,15,2016-05-27-22,Normal,-94.44,39.1
30,58,2016-05-27-22,Normal,-91.59,41.7
22,87,2016-05-27-22,Normal,-90.04,35.19
18,16,2016-05-27-22,Normal,-91.8,39.67
13,89,2016-05-27-22,Normal,-92.19,41.74
10,85,2016-05-27-22,Normal,-92.08,37.81
24,97,2016-05-27-22,Normal,-89.74,39.1
27,105,2016-05-27-22,Normal,-94.44,39.1
26,57,2016-05-27-22,Normal,-92.08,37.81
29,66,2016-05-27-22,Normal,-94.88,35.47
28,39,2016-05-27-22,Normal,-92.27,39.76
14,25,2016-05-27-22,Normal,-94.38,38.99
27,105,2016-05-27-22,Normal,-94.31,39.04
22,87,2016-05-27-22,Normal,-90.37,35.21
15,51,2016-05-27-22,Normal,-90.04,35.19
12,104,2016-05-27-22,Normal,-89.8,35.94
17,15,2016-05-27-22,Normal,-94.16,39.04
30,58,2016-05-27-22,Normal,-92.4,41.78
10,85,2016-05-27-22,Normal,-92.48,37.8
11,74,2016-05-27-22,Unsafe tail distance,-90.2,38.65
31,18,2016-05-27-22,Normal,-94.59,39.1
18,16,2016-05-27-22,Normal,-92.42,39.76
14,25,2016-05-27-22,Normal,-94.59,39.1
28,39,2016-05-27-22,Normal,-92.57,39.77
27,105,2016-05-27-22,Normal,-94.0,39.03
22,87,2016-05-27-22,Normal,-90.94,35.03
15,51,2016-05-27-22,Normal,-90.37,35.21
18,16,2016-05-27-22,Normal,-92.57,39.77
30,58,2016-05-27-22,Normal,-93.04,41.71
17,15,2016-05-27-22,Normal,-93.85,39.01
27,105,2016-05-27-22,Normal,-93.85,39.01
19,26,2016-05-27-22,Normal,-93.92,35.53
26,57,2016-05-27-22,Normal,-92.74,37.6
18,16,2016-05-27-22,Normal,-92.74,39.76
20,41,2016-05-27-22,Normal,-93.58,41.62
32,42,2016-05-27-22,Normal,-90.94,35.03
16,12,2016-05-27-22,Normal,-90.44,41.54
11,74,2016-05-27-22,Normal,-90.24,38.0
12,104,2016-05-27-22,Normal,-90.07,35.1
21,109,2016-05-27-22,Normal,-94.37,38.0
22,87,2016-05-27-22,Normal,-91.74,34.89
20,41,2016-05-27-22,Normal,-93.36,41.69
25,96,2016-05-27-22,Normal,-90.07,35.1
18,16,2016-05-27-22,Normal,-93.13,39.78
15,51,2016-05-27-22,Normal,-91.14,34.96
17,15,2016-05-27-22,Normal,-93.2,38.98
27,105,2016-05-27-22,Normal,-93.2,38.98
12,104,2016-05-27-22,Normal,-90.07,35.68
25,96,2016-05-27-22,Normal,-90.24,35.35
15,51,2016-05-27-22,Normal,-91.38,34.83
17,15,2016-05-27-22,Normal,-93.01,38.97
27,105,2016-05-27-22,Normal,-93.01,38.97
14,25,2016-05-27-22,Normal,-94.3,37.66
28,39,2016-05-27-22,Normal,-93.6,39.77
18,16,2016-05-27-22,Normal,-93.6,39.77
11,74,2016-05-27-22,Normal,-89.56,37.2
15,51,2016-05-27-22,Normal,-91.74,34.89
27,105,2016-05-27-22,Normal,-92.85,38.93
13,89,2016-05-27-22,Normal,-92.4,41.78
30,58,2016-05-27-22,Normal,-93.04,41.71
25,96,2016-05-27-22,Normal,-89.8,35.94
19,26,2016-05-27-22,Normal,-92.53,35.15
20,41,2016-05-27-22,Normal,-92.19,41.74
14,25,2016-05-27-22,Normal,-94.46,37.16
30,58,2016-05-27-22,Normal,-92.74,41.75
26,57,2016-05-27-22,Normal,-93.96,37.08
18,16,2016-05-27-22,Normal,-94.15,39.77
17,15,2016-05-27-22,Normal,-92.53,38.98
11,74,2016-05-27-22,Normal,-89.65,36.37
30,58,2016-05-27-22,Normal,-92.4,41.78
18,16,2016-05-27-22,Normal,-94.25,39.73
28,39,2016-05-27-22,Normal,-94.25,39.73
12,104,2016-05-27-22,Normal,-89.56,37.2
17,15,2016-05-27-22,Normal,-92.38,38.98
10,85,2016-05-27-22,Normal,-94.54,37.02
27,105,2016-05-27-22,Normal,-92.38,38.98
28,39,2016-05-27-22,Normal,-94.24,39.63
31,18,2016-05-27-22,Normal,-89.74,39.1
25,96,2016-05-27-22,Normal,-89.56,37.2
20,41,2016-05-27-22,Normal,-91.24,41.67
24,97,2016-05-27-22,Normal,-88.77,40.76
32,42,2016-05-27-22,Normal,-92.09,34.8
12,104,2016-05-27-22,Normal,-90.0,37.72
19,26,2016-05-27-22,Normal,-92.25,34.92
25,96,2016-05-27-22,Normal,-89.71,37.47
20,41,2016-05-27-22,Normal,-90.82,41.66
27,105,2016-05-27-22,Normal,-92.03,38.97
32,42,2016-05-27-22,Normal,-91.93,34.81
31,18,2016-05-27-22,Normal,-89.17,40.38
